machine_id,start,end
5eb5ab2ea9a5660001b3c470,2020/08/21/21,2020/10/06/21
5fa2cc43ed7e450001ed1f68,2021/01/16/01,2021/03/03/01
5f16d3f0ab44ba000132f493,2021/01/09/12,2021/02/24/12
5f461af6de69c7000158aab9,2021/06/18/07,2021/08/03/07
5f57b56f2a08ae0001f9ac6c,2020/10/21/10,2020/12/06/10
5ddbf1a1c8231800013d2c02,2020/10/17/06,2020/12/02/06
5b292877cfd1f40001f27054,2020/09/04/06,2020/10/20/06
5c7d6eea0851b700014e6f84,2021/03/04/08,2021/04/19/08
5cc70cb4082a51000142c057,2021/01/11/15,2021/02/26/15
5c1d1d5bfc88f80001c62c6f,2021/03/26/15,2021/05/11/15
5f16d05fecca5100012dd560,2020/10/27/01,2020/12/12/01
5facf768e347b700012f541a,2021/04/27/15,2021/06/12/15
5f6de1f3a6ccb60001ad1026,2021/01/25/08,2021/03/12/08
5f16ab1dab44ba000132cfe3,2020/10/13/11,2020/11/28/11
5eeb60c9ac230e00012794e8,2020/11/03/13,2020/12/19/13
5f16d585ab44ba000132f5ce,2021/03/25/11,2021/05/10/11
5f776883afdb3c0001bc370e,2021/05/26/06,2021/07/11/06
5ea6cb80972dfb0001171a56,2020/08/04/19,2020/09/19/19
6010404cdb982b0001fdb02d,2021/05/04/18,2021/06/19/18
5f46200c008c8a000150d081,2021/06/05/12,2021/07/21/12
5fb8c7047fbd100001c91054,2021/06/19/06,2021/08/04/06
5ca50463ee09030001f4a963,2021/01/13/16,2021/02/28/16
5d3e87d9d124960001c18a04,2021/01/01/06,2021/02/16/06
5e8f60d88018a4000161b39f,2020/09/14/23,2020/10/30/23
5f54eab8d8ef2c000183085b,2021/04/01/19,2021/05/17/19
5be9fd3b2cdb1500013c9c1c,2020/10/13/21,2020/11/28/21
5c8a9b025035b20001836e9b,2021/04/30/13,2021/06/15/13
5d3082c3659bd20001eb562e,2021/03/08/09,2021/04/23/09
5f54db0175460200017587b2,2020/11/01/15,2020/12/17/15
5d5ebd3736c60e0001e06a74,2021/02/13/17,2021/03/31/17
5f8d9fd4a64a7b000151e204,2021/03/28/14,2021/05/13/14
5f54f1277546020001759df1,2020/10/23/08,2020/12/08/08
5e1612f51d33b30001feaf0e,2021/02/21/15,2021/04/08/15
